Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2U65MkD3KJl7MZqSxsMFTQ,"LEGO Ninjago WEEKEND WHIP - The Ghost Whip Remix","LEGO Ninjago: Possession (Original Soundtrack)","Ninjago Music,The Fold,Krügersound",2015-06-29,227538,51,,2025-01-16T16:21:42Z,"","JAM Music Company",0.66,0.62,11,-5.511,0,0.0416,0.0000362,0.0000981,0.337,0.668,130.04,4
26Lip4WX1oWceF9tb8m2qw,"CASANOVA POSSE","CASANOVA POSSE","ALI",2025-01-10,240653,64,,2025-01-16T10:42:45Z,"anime,j-pop","Sony Music Labels Inc.",0.503,0.944,11,-1.787,0,0.126,0.0361,0.00000134,0.303,0.492,96.498,4
2OzLwwLwPJmdOxenUveETB,"Passing Through (Can't the Future Just Wait)","Passing Through (Can't the Future Just Wait)","Kaden MacKay",2021-12-10,193190,35,,2025-01-12T22:41:43Z,"","Kaden MacKay",0.565,0.154,4,-16.86,1,0.151,0.897,0.00000274,0.214,0.679,149.765,4
7eq3ovNXJwDpC7DRggMmIh,"role call","moreno fm","again&again",2024-06-26,140948,34,,2025-01-09T19:00:24Z,"","again&again",0.75,0.697,11,-5.857,0,0.152,0.0175,0.00000361,0.272,0.937,116.019,4
75ROldzsXlzsr21Zs29AhG,"imaginary heart","imaginary heart","lando!",2020-06-24,144300,30,,2025-01-09T13:56:25Z,"","lando!",0.764,0.355,8,-17.601,1,0.033,0.9,0.79,0.0977,0.707,99.984,4
66nBMj6cwE9V6LxcpQQpFs,"its alright :)","its alright :)","Kevin Walkman",2021-08-20,202048,59,,2025-01-07T13:16:29Z,"","Evelon Collective",0.6,0.767,3,-5.697,1,0.216,0.0901,0,0.207,0.851,158.008,4
4PLrn9L2yWX1svRP8qW4yT,"Papaya Man","ALOHA INOHA","INOHA",2024-05-03,227803,46,,2025-01-05T09:03:55Z,"","INOHA Publishing",0.589,0.7,9,-6.717,1,0.0527,0.0227,0,0.118,0.461,115.03,4
2g8J25mESnMa9jseFrvDE1,"Bye Bye","Mufasa: The Lion King (Original Motion Picture Soundtrack)","Folake,Mads Mikkelsen,Joanna Jones,Disney",2024-12-13,135440,68,,2025-01-01T02:06:12Z,"musicals","Walt Disney Records",0.67,0.49,1,-9.868,1,0.103,0.409,0.0000032,0.591,0.57,106.925,4
3i2zMuJZ43RikgjQLH5LmX,"Mas Que Nada - 2011 Rio Version","Rio: Music From The Motion Picture (International Version)","Sérgio Mendes,Gracinha Leporace",2011-01-01,164200,63,,2024-12-30T02:34:15Z,"brazilian jazz,bossa nova,samba","Will I Am / A&M",0.517,0.647,5,-8.076,0,0.0404,0.694,0.000112,0.21,0.95,94.734,4
3LlmKSHR3Rs0Y3KHQLAYDk,"Alone","Different World","Alan Walker",2018-12-14,160426,75,,2024-12-25T22:25:44Z,"","Kreatell Music",0.673,0.914,10,-3.962,1,0.0496,0.229,0.000478,0.186,0.183,97.021,4
00bHxCcteaAJhU5WiP1mtf,"Unakkenna Venum Sollu","Yennai Arindhaal (Original Motion Picture Soundtrack)","Harris Jayaraj,Benny Dayal,Mahathi",2015-01-04,308242,56,,2024-12-17T22:12:10Z,"tamil pop,kollywood,tamil dance,bollywood,desi,hindi pop","Sony Music Entertainment India Pvt. Ltd.",0.715,0.497,4,-9.914,1,0.0371,0.472,0,0.116,0.396,142.499,3
5qjGamXIICu9POmPCa1Z3I,"Zero Balance Hero - From Kudumbasthan","Zero Balance Hero (From Kudumbasthan)","vaisagh,Sean Roldan",2024-12-13,202909,34,,2024-12-15T15:32:33Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Think Music",0.869,0.817,8,-7.411,0,0.136,0.32,0.0000155,0.046,0.824,109.925,4
5ceipTWlE2WtG9R9h0R9B2,"Play Pretend","Play Pretend","jomm,readyaimfire27",2024-04-19,226829,46,,2024-12-12T15:34:47Z,"","cool music for cool people",0.627,0.684,1,-10.552,1,0.041,0.276,0.0000867,0.135,0.821,123.002,4
6jDaqJ3u3OC4EQU6VXvc1a,"En Kadhal Solla X Idhazhin Oram","En Kadhal Solla X Idhazhin Oram","Inno Genga,Yuvan Shankar Raja,Anirudh Ravichander",2024-12-06,198857,27,,2024-12-12T15:26:23Z,"tollywood,telugu pop,tamil pop,kollywood,tamil dance,tamil hip hop","Sony Music Entertainment India Pvt. Ltd.",0.656,0.708,10,-7.609,0,0.0337,0.825,0.00029,0.519,0.513,105.015,4
407z6emf6X9HTA845ZkS0G,"Soda Funkk !","Soda Funkk !","J Funk Boy",2024-05-22,158721,45,,2024-12-10T13:51:41Z,"","Future Funkz",0.663,0.918,9,-4.985,1,0.339,0.601,0,0.332,0.589,123.307,4
5Irj0loGZZsSLiV3bgMGBV,"oh, is this how we end?","feelings of my heart","Kyuuwaii",2024-05-09,193000,32,,2024-12-10T01:13:49Z,"","kyuuwaii",0.823,0.605,11,-11.719,0,0.0556,0.818,0.497,0.133,0.664,145.006,4
1JTeTbu9xDITRMOgZv3ROy,"Touch","Touch","The Vanished People",2023-12-15,193416,43,,2024-12-09T18:40:37Z,"","The Vanished People",0.565,0.625,10,-13.044,0,0.0702,0.00462,0.00000202,0.324,0.872,89.998,4
3hHOJM9lRlQL4euHMXYzuq,"My Last Tape","My Last Tape","The Vanished People,Max Ionata,ADA",2022-12-02,186734,35,,2024-12-09T18:12:20Z,"jazz,cool jazz","The Vanished People",0.495,0.507,5,-11.334,0,0.0286,0.66,0.000113,0.106,0.326,98.02,4
6aUiLphVsi9ZIjpt3kRuEm,"Seasons","Virtual Paradise","Alohaii,Shiki Miyoshino",2023-03-24,207516,51,,2024-12-09T17:27:16Z,"","Lone Alpha",0.673,0.668,0,-5.496,1,0.0394,0.476,0,0.104,0.602,178.002,4
2BB7wu5jJxxAEH9DKC5Mm4,"En Idhayam","Singam (Original Motion Picture Soundtrack)","Devi Sri Prasad,Suchitra,Tippu",2010-05-03,274053,50,,2024-12-09T00:25:48Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood,kannada pop,sandalwood","Sony Music Entertainment India Pvt. Ltd.",0.691,0.687,0,-3.963,0,0.0655,0.378,0.00547,0.15,0.882,89.899,4
3ykvobAQxQ5VlcDOMKXI4M,"i won't run","i won't run","Keanu Bicol",2021-09-07,158947,58,,2024-12-08T16:17:16Z,"","Keanu Bicol Records",0.525,0.688,11,-8.691,1,0.0363,0.00366,0.104,0.355,0.772,170.895,4
0t6y8zrSPUVcsqDJXHWvUo,"AWAKE","AWAKE","The Vanished People",2022-01-17,158437,46,,2024-12-08T16:12:52Z,"","The Vanished People",0.58,0.511,11,-14.82,1,0.049,0.242,0.15,0.337,0.74,159.987,4
5SN3mwuodiwY3jPejBuUD5,"Crash My Car","Dreamland","COIN",2020-02-21,188306,60,,2024-12-03T14:58:21Z,"","The Committee for Sound & Mind",0.244,0.646,5,-5.863,1,0.0456,0.00178,0.00483,0.301,0.529,183.571,5
51Yrm6pL7M8ascKSLqJpZK,"Chit Chat","Chit Chat","Beach Weather",2016-10-14,200207,40,,2024-12-03T14:53:52Z,"","LAB Records, Ltd",0.514,0.978,11,-2.779,0,0.0561,0.000251,0.168,0.328,0.966,142.107,4
7An6CN6c9BPmpWJvVdTEMQ,"Oru Murai","Oru Murai","SUJAN,Kaarthika",2021-10-28,216502,31,,2024-12-03T14:25:54Z,"tamil indie,tamil hip hop","SUJAN & Kaarthika",0.625,0.471,4,-10.297,0,0.0263,0.083,0.00000829,0.532,0.436,91.005,4
0aJNOA7ycPQJKADfmGqzz7,"Dynasties and Dystopia (from the series Arcane League of Legends)","Arcane League of Legends (Soundtrack from the Animated Series)","Denzel Curry,Gizzle,Bren Joy",2021-11-20,178080,62,,2024-12-03T13:16:40Z,"punk rap","Riot Games",0.704,0.835,1,-5.167,1,0.0552,0.0137,0,0.0982,0.892,153.946,4
1Ui2009fyhwwHcgY6P5hs2,"What A Vadivu","Unnaale","Sahi Siva,Ratty Adhiththan,Selojan",2024-03-27,208695,40,,2024-12-01T21:42:25Z,"tamil indie,tamil hip hop,tamil dance,tamil pop,kollywood","Sahi Siva Music Ltd",0.784,0.727,7,-6.996,0,0.0632,0.164,0.00000178,0.0463,0.652,92.016,4
3r1Fg9teKc6ZkZVtjJwCtV,"Spin The Wheel (from the series Arcane League of Legends)","Arcane League of Legends: Season 2 (Soundtrack from the Animated Series)","Arcane,League of Legends",2024-11-23,155773,67,,2024-11-30T03:39:41Z,"","Riot Games",0.446,0.432,8,-8.321,1,0.028,0.517,0.0000366,0.101,0.518,111.888,3
4lriIG2vNqwDWzOj2I9rtj,"Ma Meilleure Ennemie (from the series Arcane League of Legends)","Ma Meilleure Ennemie (from the series Arcane League of Legends)","Stromae,Pomme,Arcane",2024-11-23,147973,83,,2024-11-29T01:41:09Z,"french pop,chanson","Riot Games",0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
0hH99yvNVZ6UmH78Ooa7IQ,"Snow fairy","FUNKIST CUP (通常盤)","FUNKIST",2010-06-16,216600,28,,2024-11-28T00:13:09Z,"anime","ポニーキャニオン",0.43,0.873,1,-2.85,0,0.0457,0.000314,0,0.274,0.552,106.095,4
0yM1sU6TAp8OEhwTC1ImNN,"Dirt Man","Songs From The Internet","Carter Vail",2024-03-13,35666,55,,2024-11-26T23:17:18Z,"","Assemble Sound",0.771,0.661,7,-10.403,1,0.0744,0.425,0.311,0.111,0.948,90.131,4
1O4JEMG1V06Lmkw8JQMY52,"ロスタイム","アンサンブル・プレイ","Creepy Nuts",2022-09-07,219506,55,,2024-11-24T18:08:11Z,"anime,j-pop,j-rap","Sony Music Labels Inc.",0.783,0.786,9,-7.044,1,0.0528,0.12,0.0000128,0.13,0.678,91.98,4
68b1n1IMui4lfXcf1MDzh9,"Rapid as Wildfires","Genshin Impact - Jade Moon Upon a Sea of Clouds (Original Game Soundtrack)","Yu-Peng Chen,HOYO-MiX",2020-11-06,259588,39,,2024-11-22T21:20:37Z,"soundtrack","MiHoYo",0.35,0.49,9,-11.864,0,0.0403,0.814,0.902,0.182,0.609,115.988,4
1ji3cJU0sobtsiNEZRvNVz,"Bad example","2019 - 2021","takayan",2021-07-08,104269,51,,2024-11-21T21:44:30Z,"j-pop,j-rap,japanese indie","Takayan",0.771,0.661,6,-6.23,0,0.0497,0.421,0,0.256,0.812,120.006,4
1J4NM3Mo7xoAhCfdeIpKnp,"Vague Reason","Jujutsu Kaisen Hidden Inventory/Premature Death, The Shibuya Incident Original Soundtrack","照井順政",2024-01-08,212500,47,,2024-11-20T17:16:13Z,"anime","Anime Ltd",0.413,0.347,0,-13.318,1,0.0419,0.961,0.908,0.0692,0.0943,109.311,5
4xXu9UO2qdBotUOfqru2UC,"Bakamitai - Taxi Driver Edition","Kazuma Kiryu Karaoke hit song collection(Ryu ga gotoku7 hikari to yami no yukue)","桐生一馬(黒田崇矢)",2020-01-16,291266,57,,2024-11-17T20:32:37Z,"","セガホールディングス",0.519,0.567,7,-7.914,1,0.0259,0.0507,0.455,0.378,0.284,73.988,4
6loDuwmsq6fazVxqqRhmcp,"nyc in 1940","nyc in 1940","berlioz,Ted Jasper",2022-06-03,156611,67,,2024-11-16T00:43:02Z,"jazz house,jazz","berlioz",0.839,0.482,9,-13.931,0,0.121,0.337,0.89,0.0859,0.585,116.998,4
